门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香(新欣市场内门店),江苏省,镇江市,三线城市,丹阳市,52,2,2,40,6,258,3,4,成熟社区型
味知香半成品菜,江苏省,镇江市,三线城市,丹阳市,9,2,2,14,4,102,0,1,商务综合型
味知香半成品菜(博联农贸商城店),江苏省,镇江市,三线城市,扬中市,26,0,3,4,1,24,0,1,商务综合型
味知香(意法清江服装城店),浙江省,杭州市,新一线城市,上城区,105,1,3,29,7,190,3,4,成熟社区型
味知香旗舰店,浙江省,杭州市,新一线城市,拱墅区,157,8,4,57,13,361,1,2,商业竞争型
味知香(良熟百货店),浙江省,杭州市,新一线城市,临平区,21,3,5,13,2,56,0,1,商务综合型
味知香(中山路农贸市场店),浙江省,杭州市,新一线城市,临平区,137,4,5,30,10,149,3,4,成熟社区型
仙林苑味知香(仙林苑北区店),浙江省,杭州市,新一线城市,拱墅区,189,18,5,46,18,251,2,3,校圈便利型
味知香半成品菜官方旗舰店(余杭店),浙江省,杭州市,新一线城市,余杭区,70,2,7,32,6,182,3,4,成熟社区型
味知香自选快餐,浙江省,杭州市,新一线城市,临安区,1,0,4,10,0,31,0,1,商务综合型
味知香半成品菜,浙江省,杭州市,新一线城市,萧山区,15,2,1,15,2,84,0,1,商务综合型
味之香美蛙鲜鱼火锅(总店),浙江省,杭州市,新一线城市,钱塘区,43,15,3,31,4,450,1,2,商业竞争型
温州市瓯海区黄屿味知香(黄屿家园店),浙江省,温州市,二线城市,瓯海区,52,5,2,16,4,94,0,1,商务综合型
味知香,浙江省,温州市,二线城市,瑞安市,80,4,2,80,7,277,1,2,商业竞争型
味知香(创业路店),浙江省,温州市,二线城市,苍南县,74,9,5,49,0,341,1,2,商业竞争型
味知香半成品菜(灵溪大门店),浙江省,温州市,二线城市,苍南县,80,8,9,80,5,415,1,2,商业竞争型
味知香(嘉兴友谊农贸市场店),浙江省,嘉兴市,二线城市,秀洲区,71,2,4,37,2,257,3,4,成熟社区型
富兴菜场味知香,浙江省,嘉兴市,二线城市,南湖区,102,5,5,18,6,159,3,4,成熟社区型
味知香(兴贤路店),浙江省,嘉兴市,二线城市,嘉善县,16,1,1,28,1,59,0,1,商务综合型
味知香半成品菜,浙江省,嘉兴市,二线城市,秀洲区,3,1,1,14,3,26,0,1,商务综合型
味知香预制菜,浙江省,嘉兴市,二线城市,桐乡市,30,3,1,28,0,135,0,1,商务综合型
味知香(灵安便民菜场),浙江省,嘉兴市,二线城市,桐乡市,16,1,2,18,3,107,0,1,商务综合型
味知香半成品(蒙士大厦店),浙江省,嘉兴市,二线城市,平湖市,31,1,4,20,5,140,3,4,成熟社区型
味知香半成品菜(杭东农副产品批发市场店),浙江省,嘉兴市,二线城市,海宁市,5,1,1,11,0,18,0,1,商务综合型
味知香半成品菜(长虹嘉苑店),浙江省,嘉兴市,二线城市,海宁市,24,3,0,18,6,88,0,1,商务综合型
味知香(湖东农贸市场店),浙江省,湖州市,三线城市,吴兴区,62,5,2,12,5,103,3,4,成熟社区型
味知香(长兴中心农贸市场店),浙江省,湖州市,三线城市,长兴县,94,6,0,29,2,128,0,1,商务综合型
施记香老蔡羊肉,浙江省,湖州市,三线城市,吴兴区,21,3,0,6,0,27,0,1,商务综合型
市陌味知香预制菜(市陌路小区店),浙江省,湖州市,三线城市,吴兴区,77,4,2,13,3,155,3,4,成熟社区型
味知香预制菜(菱湖店),浙江省,湖州市,三线城市,南浔区,29,1,1,27,2,134,0,1,商务综合型
味知香半成品菜(湖州新华农贸市场店),浙江省,湖州市,三线城市,吴兴区,90,5,5,26,9,172,3,4,成熟社区型
味知香半成品火锅食材(金龙佳苑店),浙江省,湖州市,三线城市,吴兴区,32,3,1,8,2,35,0,1,商务综合型
